Question text,First answer,Second answer,Third answer,Fourth answer,Correct answer
"In the UK, the abbreviation NHS stands for National what Service?",Humanity,Health,Honour,Household,Health
Which Disney character famously leaves a glass slipper behind at a royal ball?,Pocahontas,Sleeping Beauty,Cinderella,Elsa,Cinderella
 What name is given to the revolving belt machinery in an airport that delivers checked luggage from the plane to baggage reclaim?,Hangar,Terminal,Concourse,Carousel,Carousel
Which of these brands was chiefly associated with the manufacture of household locks?,Phillips,Flymo,Chubb,Ronseal,Chubb
The hammer and sickle is one of the most recognisable symbols of which political ideology?,Republicanism,Communism,Conservatism,Liberalism,Communism
Which toys have been marketed with the phrase “robots in disguise”?,Bratz Dolls,Sylvanian Families,Hatchimals,Transformers,Transformers
What does the word loquacious mean?,Angry,Chatty,Beautiful,Shy,Chatty
Obstetrics is a branch of medicine particularly concerned with what?,Childbirth,Broken bones,Heart conditions,Old age,Childbirth
"In Doctor Who, what was the signature look of the fourth Doctor, as portrayed by Tom Baker?","Bow-tie, braces and tweed jacket",Wide-brimmed hat and extra long scarf,"Pinstripe suit and trainers
Pinstripe suit and trainers","Cape, velvet jacket and frilly shirt",Wide-brimmed hat and extra long scarf
Which of these religious observances lasts for the shortest period of time during the calendar year?,Ramadan,Diwali,Lent,Hanukkah,Diwali
"At the closest point, which island group is only 50 miles south-east of the coast of Florida?",Bahamas,US Virgin Islands,Turks and Caicos Islands,Bermuda,Bahamas
Construction of which of these famous landmarks was completed first?,Empire State Building,Royal Albert Hall,Eiffel Tower,Big Ben Clock Tower,Big Ben Clock Tower
